cycle,layer_name,layer_type,layer_power_including_idle_power_micro_watt,layer_power_excluding_idle_power_micro_watt,layer_run_time
1,_feat_conv1,Conv2d,,,0.5506560206413269
1,_feat_conv2,Conv2d,,,0.07766400277614594
1,_classifer_fc1,Linear,,,0.5030080080032349
1,_classifer_fc2,Linear,,,0.016256000846624374
1,_classifer_fc3,Linear,,,0.01651199907064438
2,_feat_conv1,Conv2d,8653824.0,4471500.201034293,0.9275839924812317
2,_feat_conv2,Conv2d,,,0.5956799983978271
2,_classifer_fc1,Linear,,,0.024383999407291412
2,_classifer_fc2,Linear,,,0.01651199907064438
2,_classifer_fc3,Linear,,,0.012671999633312225
3,_feat_conv1,Conv2d,,,0.0674239993095398
3,_feat_conv2,Conv2d,,,0.07491199672222137
3,_classifer_fc1,Linear,,,0.027424000203609467
3,_classifer_fc2,Linear,,,0.01635199971497059
3,_classifer_fc3,Linear,,,0.016095999628305435
4,_feat_conv1,Conv2d,,,0.07014399766921997
4,_feat_conv2,Conv2d,,,0.06656000018119812
4,_classifer_fc1,Linear,,,0.0244159996509552
4,_classifer_fc2,Linear,,,0.01635199971497059
4,_classifer_fc3,Linear,,,0.012703999876976013
5,_feat_conv1,Conv2d,,,0.06918399780988693
5,_feat_conv2,Conv2d,,,0.07427199929952621
5,_classifer_fc1,Linear,,,0.024351999163627625
5,_classifer_fc2,Linear,,,0.016287999227643013
5,_classifer_fc3,Linear,,,0.012575999833643436
6,_feat_conv1,Conv2d,,,0.0687360018491745
6,_feat_conv2,Conv2d,,,0.06684800237417221
6,_classifer_fc1,Linear,,,0.024288000538945198
6,_classifer_fc2,Linear,,,0.016224000602960587
6,_classifer_fc3,Linear,,,0.016607999801635742
7,_feat_conv1,Conv2d,,,0.06892800331115723
7,_feat_conv2,Conv2d,,,0.07148800045251846
7,_classifer_fc1,Linear,,,0.023871999233961105
7,_classifer_fc2,Linear,,,0.016256000846624374
7,_classifer_fc3,Linear,,,0.012671999633312225
8,_feat_conv1,Conv2d,,,0.06764800101518631
8,_feat_conv2,Conv2d,,,0.06672000139951706
8,_classifer_fc1,Linear,,,0.024224000051617622
8,_classifer_fc2,Linear,,,0.016256000846624374
8,_classifer_fc3,Linear,,,0.012959999963641167
9,_feat_conv1,Conv2d,,,0.06857600063085556
9,_feat_conv2,Conv2d,,,0.07804799824953079
9,_classifer_fc1,Linear,,,0.0244159996509552
9,_classifer_fc2,Linear,,,0.0161920003592968
9,_classifer_fc3,Linear,,,0.016736000776290894
10,_feat_conv1,Conv2d,,,0.06982400268316269
10,_feat_conv2,Conv2d,,,0.07161600142717361
10,_classifer_fc1,Linear,,,0.023903999477624893
10,_classifer_fc2,Linear,,,0.016287999227643013
10,_classifer_fc3,Linear,,,0.01648000068962574
11,_feat_conv1,Conv2d,,,0.06691200286149979
11,_feat_conv2,Conv2d,,,0.07030399888753891
11,_classifer_fc1,Linear,,,0.02425600029528141
11,_classifer_fc2,Linear,,,0.016095999628305435
11,_classifer_fc3,Linear,,,0.016224000602960587
12,_feat_conv1,Conv2d,,,0.06851200014352798
12,_feat_conv2,Conv2d,,,0.07769600301980972
12,_classifer_fc1,Linear,,,0.024447999894618988
12,_classifer_fc2,Linear,,,0.01648000068962574
12,_classifer_fc3,Linear,,,0.01648000068962574
13,_feat_conv1,Conv2d,,,0.06963200122117996
13,_feat_conv2,Conv2d,,,0.07865600287914276
13,_classifer_fc1,Linear,,,0.024351999163627625
13,_classifer_fc2,Linear,,,0.01616000011563301
13,_classifer_fc3,Linear,,,0.012640000320971012
14,_feat_conv1,Conv2d,,,0.06889600306749344
14,_feat_conv2,Conv2d,,,0.07862400263547897
14,_classifer_fc1,Linear,,,0.024831999093294144
14,_classifer_fc2,Linear,,,0.016256000846624374
14,_classifer_fc3,Linear,,,0.012959999963641167
15,_feat_conv1,Conv2d,,,0.06678400188684464
15,_feat_conv2,Conv2d,,,0.07369600236415863
15,_classifer_fc1,Linear,,,0.02425600029528141
15,_classifer_fc2,Linear,,,0.016224000602960587
15,_classifer_fc3,Linear,,,0.012608000077307224
16,_feat_conv1,Conv2d,,,0.0687360018491745
16,_feat_conv2,Conv2d,,,0.07785599678754807
16,_classifer_fc1,Linear,,,0.024032000452280045
16,_classifer_fc2,Linear,,,0.01616000011563301
16,_classifer_fc3,Linear,,,0.012608000077307224
17,_feat_conv1,Conv2d,,,0.06943999975919724
17,_feat_conv2,Conv2d,,,0.06595200300216675
17,_classifer_fc1,Linear,,,0.02393599972128868
17,_classifer_fc2,Linear,,,0.016256000846624374
